cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie,sous catégorie,Détails sous catégorie,Limite qualité ,Unité limite qualité,Commentaire limite qualité,Valeur sanitaire 1,Unité valeur sanitaire 1,Commentaire valeur sanitaire 1,Valeur sanitaire 2,Unité valeur sanitaire 2,Commentaire valeur sanitaire 2
FLORAS,2810,FLORASULAM,Florasulam,145701-23-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
CBRYL,1463,CARBARYL,Carbaryl,63-25-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
CHINE,1094,LAMBDA CYHALOTHRINE,Lambda Cyhalothrine,91465-08-06,pesticides,substances actives,,0.1,µg/L,,,,,,,
MCPB,1213,"2,4-MCPB","2,4-MCPB",94-81-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
BFINE,1120,BIFENTHRINE,Bifenthrine,82657-04-03,pesticides,substances actives,,0.1,µg/L,,,,,,,
TRSULFM,2991,TRIFLUSULFURON-METHYL,Triflusulfuron-methyl,126535-15-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
PACLOBU,2545,PACLOBUTRAZOLE,Paclobutrazole,76738-62-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
TDMF,1544,TRIADIMÉFON,Triadiméfon,43121-43-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
PARTH,1232,PARATHION ÉTHYL,Parathion éthyl,56-38-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
MTZ,1222,MÉTOXURON,Métoxuron,19937-59-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
OXYFLUO,1952,OXYFLUORFENE,Oxyfluorfene,42874-03-03,pesticides,substances actives,,0.1,µg/L,,,,,,,
DFB,1488,DIFLUBENZURON,Diflubenzuron,35367-38-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
TEFLUTH,1953,TEFLUTHRINE,Tefluthrine,79538-32-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
EPROP,1495,ETHOPROPHOS,Ethoprophos,13194-48-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
ASULAME,1965,ASULAME,Asulame,3337-71-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
METRAF,5654,METRAFENONE,Metrafenone,220899-03-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
BIX,7345,BIXAFEN,Bixafen,581809-46-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
ENDOT,1743,ENDOSULFAN TOTAL,Endosulfan total,115-29-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
ZOXAMID,2858,ZOXAMIDE,Zoxamide,156052-68-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
BAX,1687,BÉNALAXYL,Bénalaxyl,71626-11-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
PENCYCU,1887,PENCYCURON,Pencycuron,66063-05-06,pesticides,substances actives,,0.1,µg/L,,,,,,,
TRITO,7087,TRITOSULFURON,Tritosulfuron,142469-14-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
PYRMM,1261,PYRIMIPHOS MÉTHYL,Pyrimiphos méthyl,29232-93-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
FLUAZB,1825,FLUAZIFOP BUTYL,Fluazifop butyl,69806-50-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
FENHEXA,2743,FENHEXAMID,Fenhexamid,126833-17-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
MTHC,1510,MÉTHIOCARB,Méthiocarb,2032-65-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
ACIFLUO,1970,ACIFLUORFEN,Acifluorfen,50594-66-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
RSFU,1892,RIMSULFURON,Rimsulfuron,122931-48-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
PICOX,2669,PICOXYSTROBINE,Picoxystrobine,117428-22-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
TCM,7517,THIENCARBAZONE-METHYL,Thiencarbazone-methyl,317815-83-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
24DB,1142,"2,4-DB","2,4-DB",94-82-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
FOSTHIA,2744,FOSTHIAZATE,Fosthiazate,98886-44-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
PYMET,5416,PYMÉTROZINE,Pymétrozine,123312-89-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
PROTHIO,5603,PROTHIOCONAZOLE,Prothioconazole,178928-70-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
PICLO,1708,PICLORAME,Piclorame,01/02/1918,pesticides,substances actives,,0.1,µg/L,,,,,,,
FLUPYR,2565,FLUPYRSULFURON-MÉTHYLE,Flupyrsulfuron-méthyle,144740-54-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
MTMY,1218,MÉTHOMYL,Méthomyl,16752-77-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
PINOX,7057,PINOXADEN,Pinoxaden,243973-20-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
PHM,1665,PHOXIME,Phoxime,14816-18-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
FLUQUIN,2056,FLUQUINCONAZOLE,Fluquinconazole,136426-54-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
IPROVAL,2951,IPROVALICARB,Iprovalicarb,140923-17-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
FMTH,1501,FLUOMÉTURON,Fluométuron,2164-17-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
PHOSL,1237,PHOSALONE,Phosalone,2310-17-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
ENDR,1181,ENDRINE,Endrine,72-20-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
ACYINE,1812,ALPHAMÉTHRINE,Alphaméthrine,67375-30-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
MOL,1707,MOLINATE,Molinate,2212-67-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
FLPIDE,7499,FLUOPICOLIDE,Fluopicolide,239110-15-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
OXDM,1231,OXYDÉMÉTON MÉTHYL,Oxydéméton méthyl,0301-12-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
CYAZOF,5567,CYAZOFAMIDE,Cyazofamide,120116-88-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
PROMN,1711,PROMÉTON,Prométon,1610-18-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
FENOXA,1973,FÉNOXAPROP-ÉTHYL,Fénoxaprop-éthyl,66441-23-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
PECNZ,1762,PENCONAZOLE,Penconazole,66246-88-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
BTRON,1531,BUTURON,Buturon,3766-60-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
TDMN,1280,TRIADIMENOL,Triadimenol,55219-65-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
PPCHL,1712,PROPACHLORE,Propachlore,1918-16-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
MTX,1511,MÉTHOXYCHLORE,Méthoxychlore,72-43-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
BTTNL,1529,BITERTANOL,Bitertanol,55179-31-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
TITCNZ,2992,TRITICONAZOLE,Triticonazole,131983-72-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
CLOQMEX,2018,CLOQUINTOCET-MEXYL,Cloquintocet-mexyl,99607-70-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
PETHO,7519,PETHOXAMIDE,Pethoxamide,106700-29-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
ESFENV,1809,ESFENVALÉRATE,Esfenvalérate,66230-04-04,pesticides,substances actives,,0.1,µg/L,,,,,,,
CYSUL,7801,CYPROSULFAMIDE,Cyprosulfamide,221667-31-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
BRXYOC,1941,BROMOXYNIL OCTANOATE,Bromoxynil octanoate,1689-99-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
DINICO,1871,DINICONAZOLE,Diniconazole,83657-24-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
CARBOX,2975,CARBOXINE,Carboxine,5234-68-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
TBZDE,1895,TÉBUFÉNOZIDE,Tébufénozide,112410-23-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
TFBZURO,1897,TEFLUBENZURON,Teflubenzuron,83121-18-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
FLUAZF,6545,FLUAZIFOP,Fluazifop,69335-91-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
CPC,1684,CHLOROPHACINONE,Chlorophacinone,3691-35-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
SITN,5477,SIMÉTRYNE,Simétryne,1014-70-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
CYROMAZ,2897,CYROMAZINE,Cyromazine,66215-27-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
MEFENPD,2930,MEFENPYR DIETHYL,Mefenpyr diethyl,135590-91-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
BROMADI,1859,BROMADIOLONE,Bromadiolone,28772-56-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
QUIZO,2069,QUIZALOFOP,Quizalofop,76578-12-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
FERI,1185,FÉNARIMOL,Fénarimol,60168-88-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
THIOPM,1717,THIOPHANATE MÉTHYL,Thiophanate méthyl,23564-05-08,pesticides,substances actives,,0.1,µg/L,,,,,,,
OXYM,1850,OXAMYL,Oxamyl,23135-22-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
THIODIC,1093,THIODICARBE,Thiodicarbe,59669-26-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
THIDIAZ,5934,THIDIAZURON,Thidiazuron,51707-55-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
BUT,1126,BUTRALINE,Butraline,33629-47-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
CSFU,1353,CHLORSULFURON,Chlorsulfuron,64902-72-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
CLODINA,2095,CLODINAFOP-PROPARGYL,Clodinafop-propargyl,105512-06-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
MPNI,5533,MÉPANIPYRIM,Mépanipyrim,110235-47-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
COMLI,1696,CYCLURON,Cycluron,2163-69-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
FXAS,5638,FLUOXASTROBINE,Fluoxastrobine,361377-29-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
PROPAQU,1972,PROPAQUIZAFOP,Propaquizafop,111479-05-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
CADUSAF,1863,CADUSAFOS,Cadusafos,95465-99-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
AZINE,1110,AZINPHOS ÉTHYL,Azinphos éthyl,2642-71-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
CLAHA,7010,CHLORDANE ALPHA,Chlordane alpha,5103-71-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
TEMBO,7086,TEMBOTRIONE,Tembotrione,335104-84-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
FOLPEL,1192,FOLPEL,Folpel,0133-07-03,pesticides,substances actives,,0.1,µg/L,,,,,,,
TBPYR,1896,TÉBUFENPYRAD,Tébufenpyrad,119168-77-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
FLUAZN,2984,FLUAZINAM,Fluazinam,79622-59-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
DCFMT,1171,DICLOFOP MÉTHYL,Diclofop méthyl,51338-27-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
IALDR,1207,ISODRINE,Isodrine,465-73-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
TRIASUL,1914,TRIASULFURON,Triasulfuron,82097-50-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
FENIT,1187,FENITROTHION,Fenitrothion,122-14-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
HXFLUMU,1875,HEXAFLUMURON,Hexaflumuron,86479-06-03,pesticides,substances actives,,0.1,µg/L,,,,,,,
CYFLTH,1681,CYFLUTHRINE,Cyfluthrine,68359-37-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
CARFENE,2976,CARFENTRAZONE ÉTHYLE,Carfentrazone éthyle,128639-02-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
CLBROMU,2016,CHLORBROMURON,Chlorbromuron,13360-45-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
FLUXR,1676,FLUFÉNOXURON,Flufénoxuron,101463-69-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
VMDT,1290,VAMIDOTHION,Vamidothion,2275-23-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
ADC,1102,ALDICARBE,Aldicarbe,0116-06-03,pesticides,substances actives,,0.1,µg/L,,,,,,,
OOA,1230,OMÉTHOATE,Ométhoate,1113-02-06,pesticides,substances actives,,0.1,µg/L,,,,,,,
CHLX,1683,CHLOROXURON,Chloroxuron,1982-47-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
HALOX,2047,HALOXYFOP,Haloxyfop,69806-34-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
MCPO,2750,MECOPROP-1-OCTYL ESTER,Mecoprop-1-octyl ester,161922-37-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
HCHE,2046,HCH EPSILON,HCH epsilon,07/10/6108,pesticides,substances actives,,0.1,µg/L,,,,,,,
FOSETYL,1816,FOSETYL,Fosetyl,15845-66-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
CLAHB,1757,CHLORDANE BÉTA,Chlordane béta,5103-74-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
PYRX,1663,PYRIFÉNOX,Pyrifénox,88283-41-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
IMAZAPY,2090,IMAZAPYR,Imazapyr,81334-34-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
ETHION,1183,ETHION,Ethion,0563-12-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
FLUMIOX,2023,FLUMIOXAZINE,Flumioxazine,103361-09-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
EKALUX,1891,QUINALPHOS,Quinalphos,13593-03-08,pesticides,substances actives,,0.1,µg/L,,,,,,,
METOSUL,1912,MÉTOSULAM,Métosulam,139528-85-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
TTAZINE,5842,TRIETAZINE,Trietazine,1912-26-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
BUPIRI,1861,BUPIRIMATE,Bupirimate,41483-43-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
ETHPH,2093,ETHEPHON,Ethephon,16672-87-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
HTZ,1876,HEXYTHIAZOX,Hexythiazox,78587-05-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
TAUFLU,1193,FLUVALINATE-TAU,Fluvalinate-tau,102851-06-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
FENTH,1190,FENTHION,Fenthion,55-38-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
BENFURA,2924,BENFURACARBE,Benfuracarbe,82560-54-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
PPIT,1255,PROPARGITE,Propargite,2312-35-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
TERB,1267,TERBUPHOS,Terbuphos,13071-79-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
DCLORMI,2929,DICHLORMIDE,Dichlormide,37764-25-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
FONO,1674,FONOFOS,Fonofos,944-22-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
DMTHY,5737,DIMETHAMETRYN,Dimethametryn,22936-75-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
MEFENA,1968,MEFENACET,Mefenacet,73250-68-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
BEFLU,7522,BEFLUBUTAMIDE,Beflubutamide,113614-08-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
HXPEE,1833,HALOXYFOP ÉTHOXYÉTHYL,Haloxyfop éthoxyéthyl,87237-48-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
MANDIP,6399,MANDIPROPAMIDE,Mandipropamide,374726-62-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
FEINE,1188,FENPROPATHRINE,Fenpropathrine,39515-41-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
SIDURON,1893,SIDURON,Siduron,1982-49-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
TCF,1287,TRICHLORFON,Trichlorfon,52-68-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
ACNT,1310,ACRINATHRINE,Acrinathrine,101007-06-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
FLUOPYR,7649,FLUOPYRAM,Fluopyram,658066-35-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
AZACONA,2014,AZACONAZOLE,Azaconazole,60207-31-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
TRFLUM,1902,TRIFLUMURON,Triflumuron,64628-44-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
HYDMAL,5645,HYDRAZIDE MALEÏQUE,Hydrazide maleïque,123-33-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
TCVP,1277,TÉTRACHLORVINPHOS,Tétrachlorvinphos,22248-79-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
DCFT,1159,DICHLOFENTHION,Dichlofenthion,97-17-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
PNCB,1538,QUINTOZÈNE,Quintozène,82-68-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
QUIZOET,2070,QUIZALOFOP ÉTHYLE,Quizalofop éthyle,76578-14-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
TRIAZ,2990,TRIAZOXIDE,Triazoxide,72459-58-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
34DCPA,1532,PROPANIL,Propanil,709-98-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
INDOXAC,5483,INDOXACARBE,Indoxacarbe,173584-44-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
TRZAMAT,1901,TRIAZAMATE,Triazamate,112143-82-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
PYRIDAB,1890,PYRIDABÈNE,Pyridabène,96489-71-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
DIPHAM,5478,DIPHENYLAMINE,Diphenylamine,122-39-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
CHINOME,1865,CHINOMÉTHIONATE,Chinométhionate,02/01/2439,pesticides,substances actives,,0.1,µg/L,,,,,,,
DCHLOPH,2981,DICHOROPHÈNE,Dichorophène,97-23-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
SPINO,5610,SPINOSAD,Spinosad,168316-95-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
THIOBEN,1764,THIOBENCARDE,Thiobencarde,28249-77-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
PPMD,1238,PHOSPHAMIDON,Phosphamidon,13171-21-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
BEND,1329,BENDIOCARBE,Bendiocarbe,22781-23-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
CYFLU,7748,CYFLUFENAMIDE,Cyflufenamide,180409-60-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
NUARIMO,1883,NUARIMOL,Nuarimol,63284-71-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
FLURIDO,1974,FLURIDONE,Fluridone,59756-60-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
FAMOXAD,2020,FAMOXADONE,Famoxadone,131807-57-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
TRIFORI,1802,TRIFORINE,Triforine,26644-46-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
FURALAX,1908,FURALAXYL,Furalaxyl,57646-30-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
TMT,2071,THIOMÉTON,Thiométon,640-15-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
IOXYOCT,1942,IOXYNIL OCTANOATE,Ioxynil octanoate,3861-47-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
PMPT,1260,PYRIMIPHOS ÉTHYL,Pyrimiphos éthyl,23505-41-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
DCPADH,2966,CHLORTHAL-DIMÉTHYL,Chlorthal-diméthyl,1861-32-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
SPITET,7506,SPIROTETRAMAT,Spirotetramat,203313-25-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
AZIMSUL,2937,AZIMSULFURON,Azimsulfuron,120162-55-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
TBIL,1659,TERBACILE,Terbacile,5902-51-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
MVPH,1226,MÉVINPHOS,Mévinphos,7786-34-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
DLL,1156,DIALLATE,Diallate,2303-16-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
BRPH,1124,BROMOPHOS MÉTHYL,Bromophos méthyl,2104-96-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
CAPT,1128,CAPTANE,Captane,0133-06-02,pesticides,substances actives,,0.1,µg/L,,,,,,,
PENOXU,6394,PENOXSULAM,Penoxsulam,219714-96-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
DSYST,1492,DISYSTON,Disyston,0298-04-04,pesticides,substances actives,,0.1,µg/L,,,,,,,
PHOSMET,1971,PHOSMET,Phosmet,0732-11-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
PHENM,1236,PHENMÉDIPHAME,Phenmédiphame,13684-63-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
DNOCP,5619,DINOCAP,Dinocap,39300-45-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
AZIN,1111,AZINPHOS MÉTHYL,Azinphos méthyl,86-50-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
DMTSM,1153,DEMETON S MÉTHYL,Demeton S méthyl,919-86-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
TRCYCLA,2898,TRICYCLAZOLE,Tricyclazole,41814-78-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
UNCAZ,7482,UNICONAZOLE,Uniconazole,83657-22-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
ETOF,5624,ETOFENPROX,Etofenprox,80844-07-01,pesticides,substances actives,,0.1,µg/L,,,,,,,
FENCL,1186,FENCHLORPHOS,Fenchlorphos,299-84-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
PZP,1258,PYRAZOPHOS,Pyrazophos,13457-18-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
DIMOX,5748,DIMOXYSTROBINE,Dimoxystrobine,149961-52-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
IMAZAQU,2860,IMIZAQUINE,Imizaquine,81335-37-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
FLURPRI,2024,FLURPRIMIDOL,Flurprimidol,56425-91-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
TBZMETA,6283,TERBUTHYLAZIN ET SES MÉTABOLITES,Terbuthylazin et ses métabolites,,pesticides,substances actives,,0.1,µg/L,,,,,,,
SMETOLA,2974,S-MÉTOLACHLORE,S-Métolachlore,,pesticides,substances actives,,0.1,µg/L,,,,,,,
PICONA,5665,PICOLINAFEN,Picolinafen,137641-05-5,pesticides,substances actives,,0.1,µg/L,,,,,,,
AZAMETI,2015,AZAMÉTIPHOS,Azamétiphos,35575-96-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
SILTF,5609,SILTHIOFAM,Silthiofam,175217-20-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
BRMTH,1502,BIORESMETHRINE,Bioresmethrine,28434-01-07,pesticides,substances actives,,0.1,µg/L,,,,,,,
BROMOE,1123,BROMOPHOS ÉTHYL,Bromophos éthyl,4824-78-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
PPTP,1533,PROPÉTAMPHOS,Propétamphos,31218-83-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
EPTC,1182,EPTC,EPTC,759-94-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
PHRT,1525,PHORATE,Phorate,0298-02-02,pesticides,substances actives,,0.1,µg/L,,,,,,,
IPCONA,7508,IPCONAZOLE,Ipconazole,125225-28-7,pesticides,substances actives,,0.1,µg/L,,,,,,,
HALOXYR,1909,HALOXYFOP-MÉTHYL (R),Haloxyfop-méthyl (R),72619-32-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
TLFND,1719,TOLYLFLUANIDE,Tolylfluanide,731-27-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
IOXYM,2871,IOXYNIL-MÉTHYL,Ioxynil-méthyl,3336-40-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
CLMP,1134,CHLORMÉPHOS,Chlorméphos,24934-91-6,pesticides,substances actives,,0.1,µg/L,,,,,,,
DICOUM,2982,DIFENACOUM,Difenacoum,56073-07-05,pesticides,substances actives,,0.1,µg/L,,,,,,,
COUMATE,2019,COUMATÉTRALYL,Coumatétralyl,5836-29-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
PPHM,1534,PROPHAME,Prophame,122-42-9,pesticides,substances actives,,0.1,µg/L,,,,,,,
COUMAF,2972,COUMAFÈNE,Coumafène,81-81-2,pesticides,substances actives,,0.1,µg/L,,,,,,,
TRZPH,1657,TRIAZOPHOS,Triazophos,24017-47-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
DILONE,2983,DIFETHIALONE,Difethialone,104653-34-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
HEPTENO,1910,HEPTÉNOPHOS,Hepténophos,23560-59-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
DCPP,2544,DICHLORPROP-P,Dichlorprop-P,15165-67-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
ISOXADI,2807,ISOXADIFEN-ÉTHYLE,Isoxadifen-éthyle,163520-33-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
OFURACE,2027,OFURACE,Ofurace,58810-48-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
TTDIFON,1900,TETRADIFON,Tetradifon,116-29-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
MEPRONI,1878,MÉPRONIL,Mépronil,55814-41-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
PYRPF,5499,PYRIPROXYFEN,Pyriproxyfen,95737-68-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
FURATHI,2567,FURATHIOCARBE,Furathiocarbe,65907-30-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
OXDG,2068,OXADIARGYL,Oxadiargyl,39807-15-3,pesticides,substances actives,,0.1,µg/L,,,,,,,
ISPV,1829,ISOFENVOS,Isofenvos,25311-71-1,pesticides,substances actives,,0.1,µg/L,,,,,,,
LUFENUR,2026,LUFÉNURON,Lufénuron,103055-07-8,pesticides,substances actives,,0.1,µg/L,,,,,,,
BUPROFZ,1862,BUPROFÉZINE,Buprofézine,69327-76-0,pesticides,substances actives,,0.1,µg/L,,,,,,,
COUM,1682,COUMAPHOS,Coumaphos,56-72-4,pesticides,substances actives,,0.1,µg/L,,,,,,,
