code_udi,sentence,population
001000955,Votre réseau alimente de façon permanente 1318 personnes.,1318
001000956,Votre réseau alimente de façon permanente 1977 personnes.,1977
001000958,Votre réseau alimente de façon permanente 1318 personnes.,1318
001000959,Votre réseau alimente de façon permanente 8433 personnes.,8433
001000960,Votre réseau alimente de façon permanente 10612 personnes.,10612
001000961,Votre réseau alimente de façon permanente 20941 personnes.,20941
001000977,Votre réseau alimente de façon permanente 9 personnes.,9
001000978,Votre réseau alimente de façon permanente 132 personnes.,132
001000979,Votre réseau alimente de façon permanente 27 personnes.,27
001000980,Votre réseau alimente de façon permanente 132 personnes.,132
001000981,Votre réseau alimente de façon permanente 231 personnes.,231
001000992,Votre réseau alimente de façon permanente 2205 personnes.,2205
001000993,Votre réseau alimente de façon permanente 2226 personnes.,2226
001000994,Votre réseau alimente de façon permanente 3560 personnes.,3560
001000995,Votre réseau alimente de façon permanente 6835 personnes.,6835
001000997,Votre réseau alimente de façon permanente 23444 personnes.,23444
001001000,Votre réseau alimente de façon permanente 104 personnes.,104
001001015,Votre réseau alimente de façon permanente 4767 personnes.,4767
001001018,Votre réseau alimente de façon permanente 3313 personnes.,3313
001001019,Votre réseau alimente de façon permanente 1176 personnes.,1176
001001027,Votre réseau alimente de façon permanente 2 personnes.,2
001001028,Votre réseau alimente de façon permanente 2119 personnes.,2119
001001029,Votre réseau alimente de façon permanente 1245 personnes.,1245
001001032,Votre réseau alimente de façon permanente 394 personnes.,394
001001033,Votre réseau alimente de façon permanente 2749 personnes.,2749
001001036,Votre réseau alimente de façon permanente 6 personnes.,6
001001041,Votre réseau alimente de façon permanente 295 personnes.,295
001001042,Votre réseau alimente de façon permanente 132 personnes.,132
001001050,Votre réseau alimente de façon permanente 176 personnes.,176
001001051,Votre réseau alimente de façon permanente 6 personnes.,6
001001057,Votre réseau alimente de façon permanente 274 personnes.,274
001001067,Votre réseau alimente de façon permanente 1289 personnes.,1289
001001072,Votre réseau alimente de façon permanente 176 personnes.,176
001001073,Votre réseau alimente de façon permanente 1161 personnes.,1161
001001076,Votre réseau alimente de façon permanente 3945 personnes.,3945
001001084,Votre réseau alimente de façon permanente 143 personnes.,143
001001087,Votre réseau alimente de façon permanente 1484 personnes.,1484
001001088,Votre réseau alimente de façon permanente 1674 personnes.,1674
001001090,Votre réseau alimente de façon permanente 232 personnes.,232
001001093,Votre réseau alimente de façon permanente 0 personnes.,0
001001095,Votre réseau alimente de façon permanente 900 personnes.,900
001001101,Votre réseau alimente de façon permanente 47894 personnes.,47894
001001116,Votre réseau alimente de façon permanente 4 personnes.,4
001001117,Votre réseau alimente de façon permanente 161 personnes.,161
001001124,Votre réseau alimente de façon permanente 247 personnes.,247
001001169,Votre réseau alimente de façon permanente 5935 personnes.,5935
001001170,Votre réseau alimente de façon permanente 9093 personnes.,9093
001001171,Votre réseau alimente de façon permanente 16033 personnes.,16033
001001174,Votre réseau alimente de façon permanente 86 personnes.,86
001001182,Votre réseau alimente de façon permanente 183 personnes.,183
001001219,Votre réseau alimente de façon permanente 22 personnes.,22
001001221,Votre réseau alimente de façon permanente 11 personnes.,11
001001329,Votre réseau alimente de façon permanente 33 personnes.,33
001003900,Votre réseau alimente de façon permanente 80 personnes.,80
001003906,Votre réseau alimente de façon permanente 112 personnes.,112
001003911,Votre réseau alimente de façon permanente 615 personnes.,615
001003917,Votre réseau alimente de façon permanente 0 personnes.,0
001004261,Votre réseau alimente de façon permanente 4971 personnes.,4971
001004285,Votre réseau alimente de façon permanente 1063 personnes.,1063
002000045,Votre réseau alimente de façon permanente 1750 personnes.,1750
002000048,Votre réseau alimente de façon permanente 258 personnes.,258
002000051,Votre réseau alimente de façon permanente 318 personnes.,318
002000054,Votre réseau alimente de façon permanente 2258 personnes.,2258
002000060,Votre réseau alimente de façon permanente 395 personnes.,395
002000063,Votre réseau alimente de façon permanente 293 personnes.,293
002000067,Votre réseau alimente de façon permanente 180 personnes.,180
002000070,Votre réseau alimente de façon permanente 263 personnes.,263
